hotel_103,Casa San Giuseppe,"Via Iberia 27, San Giovanni, 00183 Rome, Italy",Rome
hotel_104,Elegantia Luxury Rooms,"21 Via Pietro Cavallini piano 3°, Vaticano Prati, 00193 Rome, Italy",Rome
hotel_105,Hotel Residenza In Farnese,"Via Del Mascherone 59, Navona, 00186 Rome, Italy",Rome
hotel_106,Alloggi Costantini - Ospedale Gemelli - Metro Battistini,"Via Cardinale Garampi, 207, 00167 Rome, Italy",Rome
hotel_107,Le Stanze Di Orazio,"Via Orazio,3 - First Floor - Step B, Vaticano Prati, 00193 Rome, Italy",Rome
hotel_108,Navona Central Suites,"Via Della Scrofa 22, Spagna, 00186 Rome, Italy",Rome
hotel_109,hu Roma Camping In Town,"Via Aurelia 831, 00165 Rome, Italy",Rome
hotel_110,DolceVeneto,"14 Via Lazio, Via Veneto, 00187 Rome, Italy",Rome
hotel_111,Passepartout,"118 Via del Governo Vecchio, Navona, 00186 Rome, Italy",Rome
hotel_112,HT Residence Maximus,"Via Capo D'Africa 20-30 (Check-in at Piazza del Colosseo, 9), 00184 Rome, Italy",Rome
hotel_113,Affreschi Su Roma Luxury B&B,"Via Giuseppe Zanardelli 7, Navona, 00186 Rome, Italy",Rome
hotel_114,Trevi Private Suites by Premium Suites Collection,"Via Zucchelli n. 32, Trevi, 00187 Rome, Italy",Rome
hotel_115,Borgo Pio 91,"Borgo Pio 91, Vaticano Prati, 00100 Rome, Italy",Rome
hotel_116,LE RÊVE DE NAIM Roma,"Via Mario De' Fiori 3, Spagna, 00187 Rome, Italy",Rome
hotel_117,Morin 10 Rome Exclusive Suites,"Via Costantino Morin 10, Vaticano Prati, 00195 Rome, Italy",Rome
hotel_118,San Pietro Grand Suite,"6 Via Ottaviano, Vaticano Prati, 00192 Rome, Italy",Rome
hotel_119,Roman Holidays Boutique Hotel,"Via Cavour 47, Central Station, 00184 Rome, Italy",Rome
hotel_120,Home at Rome Vatican Apartment&Rooms,"13 Piazza Stazione di San Pietro, Aurelio, 00165 Rome, Italy",Rome
hotel_121,Il Corso Comfort Rooms,"Via Della Fontanella 4, Spagna, 00187 Rome, Italy",Rome
hotel_122,PAX hotel,"Via di Campo Marzio 12, Spagna, 00186 Rome, Italy",Rome
hotel_123,Hotel Cortina,"Via Nazionale 18, Central Station, 00184 Rome, Italy",Rome
hotel_124,Hotel dei Barbieri,"Via Dei Barbieri 3A, Pantheon, 00186 Rome, Italy",Rome
hotel_125,Rome Frattina27,"Via Frattina 27, Spagna, 00187 Rome, Italy",Rome
hotel_126,Archi di Roma Guest House,"13 Via Enrico Cialdini A building, 5th floor, Central Station, 00185 Rome, Italy",Rome
hotel_127,Fellini Design Suites,"Piazza di Spagna 32 - terzo piano interno 3, Spagna, 00187 Rome, Italy",Rome
hotel_128,JC Hotel,"Via Del Fosso Di Acqua Acetosa Ostiense 43 45, Fonte Ostiense, 00143 Rome, Italy",Rome
hotel_129,DEZA cozy place Nazionale,"5 Via Nazionale, Central Station, 00184 Rome, Italy",Rome
hotel_130,Hotel Maximus,"Via Firenze 12, Central Station, 00184 Rome, Italy",Rome
hotel_131,Residenza a San Pietro,"Via di Santa Maria alle Fornaci 18, Aurelio, 00165 Rome, Italy",Rome
hotel_132,The Steps at Eitch Belsiana,"VIA BELSIANA 27, Spagna, 00187 Rome, Italy",Rome
hotel_133,Mellini Palace Suites by Premium Suites Collection,"Lungotevere dei Mellini 44 Piano 5, Vaticano Prati, 00193 Rome, Italy",Rome
