price_id,hotel_id,room_type,total_price
price_637,hotel_479,Double bed,"Der aktuelle Preis beträgt 1.036 €.
1.036 €"
price_640,hotel_480,Double bed,"Der aktuelle Preis beträgt 900 €.
900 €"
price_643,hotel_481,Double bed,"Der aktuelle Preis beträgt 748 €.
748 €"
price_646,hotel_482,Double bed,"Der aktuelle Preis beträgt 640 €.
640 €"
price_649,hotel_483,Double bed,"Der aktuelle Preis beträgt 604 €.
604 €"
price_652,hotel_484,Double bed,"Der aktuelle Preis beträgt 836 €.
836 €"
price_655,hotel_485,Double bed,"Der aktuelle Preis beträgt 967 €.
967 €"
price_658,hotel_486,Double bed,"Der aktuelle Preis beträgt 859 €.
859 €"
price_661,hotel_487,Double bed,"Der aktuelle Preis beträgt 751 €.
751 €"
price_664,hotel_488,Double bed,"Der aktuelle Preis beträgt 855 €.
855 €"
price_667,hotel_489,Double bed,"Der aktuelle Preis beträgt 696 €.
696 €"
price_670,hotel_490,Double bed,"Der aktuelle Preis beträgt 1.060 €.
1.060 €"
price_673,hotel_491,Double bed,"Der aktuelle Preis beträgt 591 €.
591 €"
price_676,hotel_492,Double bed,"Der aktuelle Preis beträgt 811 €.
811 €"
price_679,hotel_493,Double bed,"Der aktuelle Preis beträgt 791 €.
791 €"
price_682,hotel_494,Double bed,"Der aktuelle Preis beträgt 811 €.
811 €"
price_685,hotel_495,Double bed,"Der aktuelle Preis beträgt 839 €.
839 €"
price_688,hotel_496,Double bed,"Der aktuelle Preis beträgt 837 €.
837 €"
price_691,hotel_497,Double bed,"Der aktuelle Preis beträgt 846 €.
846 €"
price_694,hotel_498,Double bed,"Der aktuelle Preis beträgt 771 €.
771 €"
price_697,hotel_499,Double bed,"Der aktuelle Preis beträgt 931 €.
931 €"
price_700,hotel_500,Double bed,"Der aktuelle Preis beträgt 752 €.
752 €"
price_703,hotel_501,Double bed,"Der aktuelle Preis beträgt 874 €.
874 €"
price_706,hotel_502,Double bed,"Der aktuelle Preis beträgt 755 €.
755 €"
price_503,hotel_503,Double bed,"Der aktuelle Preis beträgt 174 €.
174 €"
price_506,hotel_504,Double bed,"Der aktuelle Preis beträgt 313 €.
313 €"
price_509,hotel_505,Double bed,"Der aktuelle Preis beträgt 110 €.
110 €"
price_512,hotel_506,Double bed,"Der aktuelle Preis beträgt 174 €.
174 €"
price_515,hotel_507,Double bed,"Der aktuelle Preis beträgt 313 €.
313 €"
price_518,hotel_508,Double bed,"Der aktuelle Preis beträgt 150 €.
150 €"
price_521,hotel_509,Double bed,"Der aktuelle Preis beträgt 203 €.
203 €"
price_524,hotel_510,Double bed,"Der aktuelle Preis beträgt 138 €.
138 €"
price_527,hotel_511,Double bed,"Der aktuelle Preis beträgt 233 €.
233 €"
price_530,hotel_512,Double bed,"Der aktuelle Preis beträgt 181 €.
181 €"
price_533,hotel_513,Double bed,"Der aktuelle Preis beträgt 111 €.
111 €"
price_539,hotel_515,Double bed,"Der aktuelle Preis beträgt 250 €.
250 €"
price_542,hotel_516,Double bed,"Der aktuelle Preis beträgt 254 €.
254 €"
price_545,hotel_517,Double bed,"Der aktuelle Preis beträgt 325 €.
325 €"
price_551,hotel_519,Double bed,"Der aktuelle Preis beträgt 147 €.
147 €"
price_554,hotel_520,Double bed,"Der aktuelle Preis beträgt 163 €.
163 €"
price_557,hotel_521,Double bed,"Der aktuelle Preis beträgt 115 €.
115 €"
price_560,hotel_522,Double bed,"Der aktuelle Preis beträgt 106 €.
106 €"
price_563,hotel_523,Double bed,"Der aktuelle Preis beträgt 373 €.
373 €"
price_566,hotel_524,Double bed,"Der aktuelle Preis beträgt 101 €.
101 €"
price_569,hotel_525,Double bed,"Der aktuelle Preis beträgt 172 €.
172 €"
price_572,hotel_526,Double bed,"Der aktuelle Preis beträgt 165 €.
165 €"
price_575,hotel_527,Double bed,"Der aktuelle Preis beträgt 117 €.
117 €"
price_578,hotel_528,Double bed,"Der aktuelle Preis beträgt 123 €.
123 €"
price_581,hotel_529,Double bed,"Der aktuelle Preis beträgt 120 €.
120 €"
price_584,hotel_530,Double bed,"Der aktuelle Preis beträgt 295 €.
295 €"
price_587,hotel_531,Double bed,"Der aktuelle Preis beträgt 226 €.
226 €"
price_590,hotel_532,Double bed,"Der aktuelle Preis beträgt 199 €.
199 €"
price_593,hotel_533,Double bed,"Der aktuelle Preis beträgt 200 €.
200 €"
price_596,hotel_534,Double bed,"Der aktuelle Preis beträgt 184 €.
184 €"
price_602,hotel_536,Double bed,"Der aktuelle Preis beträgt 220 €.
220 €"
price_605,hotel_537,Double bed,"Der aktuelle Preis beträgt 141 €.
141 €"
price_608,hotel_538,Double bed,"Der aktuelle Preis beträgt 199 €.
199 €"
price_611,hotel_539,Double bed,"Der aktuelle Preis beträgt 135 €.
135 €"
price_614,hotel_540,Double bed,"Der aktuelle Preis beträgt 237 €.
237 €"
price_617,hotel_541,Double bed,"Der aktuelle Preis beträgt 224 €.
224 €"
price_620,hotel_542,Double bed,"Der aktuelle Preis beträgt 176 €.
176 €"
price_623,hotel_543,Double bed,"Der aktuelle Preis beträgt 204 €.
204 €"
price_626,hotel_544,Double bed,"Der aktuelle Preis beträgt 132 €.
132 €"
price_629,hotel_545,Double bed,"Der aktuelle Preis beträgt 150 €.
150 €"
price_632,hotel_546,Double bed,"Der aktuelle Preis beträgt 162 €.
162 €"
price_635,hotel_547,Double bed,"Der aktuelle Preis beträgt 209 €.
209 €"
price_638,hotel_548,Double bed,"Der aktuelle Preis beträgt 240 €.
240 €"
price_641,hotel_549,Double bed,"Der aktuelle Preis beträgt 154 €.
154 €"
price_644,hotel_550,Double bed,"Der aktuelle Preis beträgt 244 €.
244 €"
price_647,hotel_551,Double bed,"Der aktuelle Preis beträgt 162 €.
162 €"
price_650,hotel_552,Double bed,"Der aktuelle Preis beträgt 161 €.
161 €"
price_653,hotel_553,Double bed,"Der aktuelle Preis beträgt 139 €.
139 €"
price_656,hotel_554,Double bed,"Der aktuelle Preis beträgt 210 €.
210 €"
price_659,hotel_555,Double bed,"Der aktuelle Preis beträgt 430 €.
430 €"
price_662,hotel_556,Double bed,"Der aktuelle Preis beträgt 181 €.
181 €"
price_665,hotel_557,Double bed,"Der aktuelle Preis beträgt 184 €.
184 €"
price_668,hotel_558,Double bed,"Der aktuelle Preis beträgt 164 €.
164 €"
price_671,hotel_559,Double bed,"Der aktuelle Preis beträgt 144 €.
144 €"
price_674,hotel_560,Double bed,"Der aktuelle Preis beträgt 178 €.
178 €"
price_677,hotel_561,Double bed,"Der aktuelle Preis beträgt 180 €.
180 €"
price_680,hotel_562,Double bed,"Der aktuelle Preis beträgt 219 €.
219 €"
price_683,hotel_563,Double bed,"Der aktuelle Preis beträgt 467 €.
467 €"
price_686,hotel_564,Double bed,"Der aktuelle Preis beträgt 364 €.
364 €"
price_689,hotel_565,Double bed,"Der aktuelle Preis beträgt 172 €.
172 €"
price_692,hotel_566,Double bed,"Der aktuelle Preis beträgt 112 €.
112 €"
price_695,hotel_567,Double bed,"Der aktuelle Preis beträgt 244 €.
244 €"
price_698,hotel_568,Double bed,"Der aktuelle Preis beträgt 172 €.
172 €"
price_701,hotel_569,Double bed,"Der aktuelle Preis beträgt 173 €.
173 €"
price_704,hotel_570,Double bed,"Der aktuelle Preis beträgt 155 €.
155 €"
price_707,hotel_571,Double bed,"Der aktuelle Preis beträgt 269 €.
269 €"
price_710,hotel_572,Double bed,"Der aktuelle Preis beträgt 127 €.
127 €"
price_713,hotel_573,Double bed,"Der aktuelle Preis beträgt 110 €.
110 €"
price_716,hotel_574,Double bed,"Der aktuelle Preis beträgt 350 €.
350 €"
price_719,hotel_575,Double bed,"Der aktuelle Preis beträgt 130 €.
130 €"
price_722,hotel_576,Double bed,"Der aktuelle Preis beträgt 143 €.
143 €"
price_725,hotel_577,Double bed,"Der aktuelle Preis beträgt 280 €.
280 €"
price_728,hotel_578,Double bed,"Der aktuelle Preis beträgt 167 €.
167 €"
price_731,hotel_579,Double bed,"Der aktuelle Preis beträgt 204 €.
204 €"
price_734,hotel_580,Double bed,"Der aktuelle Preis beträgt 133 €.
133 €"
price_737,hotel_581,Double bed,"Der aktuelle Preis beträgt 188 €.
188 €"
price_740,hotel_582,Double bed,"Der aktuelle Preis beträgt 192 €.
192 €"
price_743,hotel_583,Double bed,"Der aktuelle Preis beträgt 328 €.
328 €"
price_746,hotel_584,Double bed,"Der aktuelle Preis beträgt 199 €.
199 €"
price_749,hotel_585,Double bed,"Der aktuelle Preis beträgt 191 €.
191 €"
price_752,hotel_586,Double bed,"Der aktuelle Preis beträgt 138 €.
138 €"
price_755,hotel_587,Double bed,"Der aktuelle Preis beträgt 64 €.
64 €"
price_758,hotel_588,Double bed,"Der aktuelle Preis beträgt 92 €.
92 €"
price_761,hotel_589,Double bed,"Der aktuelle Preis beträgt 185 €.
185 €"
price_764,hotel_590,Double bed,"Der aktuelle Preis beträgt 217 €.
217 €"
price_767,hotel_591,Double bed,"Der aktuelle Preis beträgt 130 €.
130 €"
price_770,hotel_592,Double bed,"Der aktuelle Preis beträgt 134 €.
134 €"
price_773,hotel_593,Double bed,"Der aktuelle Preis beträgt 185 €.
185 €"
price_776,hotel_594,Double bed,"Der aktuelle Preis beträgt 128 €.
128 €"
price_779,hotel_595,Double bed,"Der aktuelle Preis beträgt 231 €.
231 €"
price_782,hotel_596,Double bed,"Der aktuelle Preis beträgt 237 €.
237 €"
price_785,hotel_597,Double bed,"Der aktuelle Preis beträgt 98 €.
98 €"
price_788,hotel_598,Double bed,"Der aktuelle Preis beträgt 155 €.
155 €"
price_791,hotel_599,Double bed,"Der aktuelle Preis beträgt 275 €.
275 €"
price_794,hotel_600,Double bed,"Der aktuelle Preis beträgt 202 €202 €"
price_797,hotel_601,Double bed,"Der aktuelle Preis beträgt 373 €.373 €"
price_800,hotel_602,Double bed,"Der aktuelle Preis beträgt 162 €.162 €"
price_803,hotel_603,Double bed,"Der aktuelle Preis beträgt 265 €.265 €"
price_806,hotel_604,Double bed,"Der aktuelle Preis beträgt 229 €.229 €"
price_809,hotel_605,Double bed,"Der aktuelle Preis beträgt 138 €.138 €"
price_606,hotel_606,Double bed,"Der aktuelle Preis beträgt 170 €.170 €"
price_609,hotel_607,Double bed,"Der aktuelle Preis beträgt 131 €.131 €"
price_612,hotel_608,Double bed,"Der aktuelle Preis beträgt 148 €.148 €"
price_615,hotel_609,Double bed,"Der aktuelle Preis beträgt 125 €.125 €"
price_618,hotel_610,Double bed,"Der aktuelle Preis beträgt 79 €.79 €"
price_621,hotel_611,Double bed,"Der aktuelle Preis beträgt 212 €.212 €"
price_624,hotel_612,Double bed,"Der aktuelle Preis beträgt 143 €.143 €"
price_627,hotel_613,Double bed,"Der aktuelle Preis beträgt 191 €.191 €"
price_630,hotel_614,Double bed,"Der aktuelle Preis beträgt 44 €.44 €"
price_633,hotel_615,Double bed,"Der aktuelle Preis beträgt 238 €.238 €"
price_636,hotel_616,Double bed,"Der aktuelle Preis beträgt 106 €.106 €"
price_642,hotel_618,Double bed,"Der aktuelle Preis beträgt 312 €.312 €"
price_645,hotel_619,Double bed,"Der aktuelle Preis beträgt 144 €.144 €"
price_648,hotel_620,Double bed,"Der aktuelle Preis beträgt 58 €.58 €"
price_654,hotel_622,Double bed,"Der aktuelle Preis beträgt 104 €.104 €"
price_657,hotel_623,Double bed,"Der aktuelle Preis beträgt 63 €.63 €"
price_660,hotel_624,Double bed,"Der aktuelle Preis beträgt 94 €.94 €"
price_663,hotel_625,Double bed,"Der aktuelle Preis beträgt 61 €.61 €"
price_666,hotel_626,Double bed,"Der aktuelle Preis beträgt 170 €.170 €"
