image_id,hotel_id,image_path
hotelimage_501,hotel_501,new_hotels_images/hotel_501.jpg
hotelimage_502,hotel_502,new_hotels_images/hotel_502.jpg
hotelimage_503,hotel_503,new_hotels_images/hotel_503.jpg
hotelimage_504,hotel_504,new_hotels_images/hotel_504.jpg
hotelimage_505,hotel_505,new_hotels_images/hotel_505.jpg
hotelimage_506,hotel_506,new_hotels_images/hotel_506.jpg
hotelimage_508,hotel_508,new_hotels_images/hotel_508.jpg
hotelimage_509,hotel_509,new_hotels_images/hotel_509.jpg
hotelimage_510,hotel_510,new_hotels_images/hotel_510.jpg
hotelimage_511,hotel_511,new_hotels_images/hotel_511.jpg
hotelimage_512,hotel_512,new_hotels_images/hotel_512.jpg
hotelimage_513,hotel_513,new_hotels_images/hotel_513.jpg
hotelimage_515,hotel_515,new_hotels_images/hotel_515.jpg
hotelimage_516,hotel_516,new_hotels_images/hotel_516.jpg
hotelimage_517,hotel_517,new_hotels_images/hotel_517.jpg
hotelimage_519,hotel_519,new_hotels_images/hotel_519.jpg
hotelimage_520,hotel_520,new_hotels_images/hotel_520.jpg
hotelimage_521,hotel_521,new_hotels_images/hotel_521.jpg
hotelimage_522,hotel_522,new_hotels_images/hotel_522.jpg
hotelimage_523,hotel_523,new_hotels_images/hotel_523.jpg
hotelimage_524,hotel_524,new_hotels_images/hotel_524.jpg
hotelimage_525,hotel_525,new_hotels_images/hotel_525.jpg
hotelimage_526,hotel_526,new_hotels_images/hotel_526.jpg
hotelimage_527,hotel_527,new_hotels_images/hotel_527.jpg
hotelimage_528,hotel_528,new_hotels_images/hotel_528.jpg
hotelimage_529,hotel_529,new_hotels_images/hotel_529.jpg
hotelimage_530,hotel_530,new_hotels_images/hotel_530.jpg
hotelimage_531,hotel_531,new_hotels_images/hotel_531.jpg
hotelimage_532,hotel_532,new_hotels_images/hotel_532.jpg
hotelimage_533,hotel_533,new_hotels_images/hotel_533.jpg
hotelimage_534,hotel_534,new_hotels_images/hotel_534.jpg
hotelimage_536,hotel_536,new_hotels_images/hotel_536.jpg
hotelimage_537,hotel_537,new_hotels_images/hotel_537.jpg
hotelimage_538,hotel_538,new_hotels_images/hotel_538.jpg
hotelimage_539,hotel_539,new_hotels_images/hotel_539.jpg
hotelimage_540,hotel_540,new_hotels_images/hotel_540.jpg
hotelimage_541,hotel_541,new_hotels_images/hotel_541.jpg
hotelimage_542,hotel_542,new_hotels_images/hotel_542.jpg
hotelimage_543,hotel_543,new_hotels_images/hotel_543.jpg
hotelimage_544,hotel_544,new_hotels_images/hotel_544.jpg
hotelimage_545,hotel_545,new_hotels_images/hotel_545.jpg
hotelimage_546,hotel_546,new_hotels_images/hotel_546.jpg
hotelimage_547,hotel_547,new_hotels_images/hotel_547.jpg
hotelimage_548,hotel_548,new_hotels_images/hotel_548.jpg
hotelimage_549,hotel_549,new_hotels_images/hotel_549.jpg
hotelimage_550,hotel_550,new_hotels_images/hotel_550.jpg
hotelimage_551,hotel_551,new_hotels_images/hotel_551.jpg
hotelimage_552,hotel_552,new_hotels_images/hotel_552.jpg
hotelimage_553,hotel_553,new_hotels_images/hotel_553.jpg
hotelimage_554,hotel_554,new_hotels_images/hotel_554.jpg
hotelimage_555,hotel_555,new_hotels_images/hotel_555.jpg
hotelimage_556,hotel_556,new_hotels_images/hotel_556.jpg
hotelimage_557,hotel_557,new_hotels_images/hotel_557.jpg
hotelimage_558,hotel_558,new_hotels_images/hotel_558.jpg
hotelimage_559,hotel_559,new_hotels_images/hotel_559.jpg
hotelimage_560,hotel_560,new_hotels_images/hotel_560.jpg
hotelimage_561,hotel_561,new_hotels_images/hotel_561.jpg
hotelimage_562,hotel_562,new_hotels_images/hotel_562.jpg
hotelimage_563,hotel_563,new_hotels_images/hotel_563.jpg
hotelimage_564,hotel_564,new_hotels_images/hotel_564.jpg
hotelimage_565,hotel_565,new_hotels_images/hotel_565.jpg
hotelimage_566,hotel_566,new_hotels_images/hotel_566.jpg
hotelimage_567,hotel_567,new_hotels_images/hotel_567.jpg
hotelimage_568,hotel_568,new_hotels_images/hotel_568.jpg
hotelimage_569,hotel_569,new_hotels_images/hotel_569.jpg
hotelimage_570,hotel_570,new_hotels_images/hotel_570.jpg
hotelimage_571,hotel_571,new_hotels_images/hotel_571.jpg
hotelimage_572,hotel_572,new_hotels_images/hotel_572.jpg
hotelimage_573,hotel_573,new_hotels_images/hotel_573.jpg
hotelimage_574,hotel_574,new_hotels_images/hotel_574.jpg
hotelimage_575,hotel_575,new_hotels_images/hotel_575.jpg
hotelimage_576,hotel_576,new_hotels_images/hotel_576.jpg
